SHIPMT_ID,ORIG_STATE,SCTG,SHIPMT_VALUE,SHIPMT_WGHT,EXPORT_CNTRY,WGT_FACTOR
154857,22,2,4548058,40411151,O,18.3
154886,41,32,10285,31532,C,218.2
154970,53,41,7274,36369,O,18.5
154977,26,35,507210,36071,O,212
154989,6,35,4092,2,O,728.5
155064,32,30,7225,146,O,14.2
155099,55,35,268,15,C,46.2
155102,50,35,10250,53,O,27.6
155109,9,32,2848,676,O,94.1
155124,36,35,335,11,C,2261.9
155168,1,30,34,9,C,68.9
155176,6,35,5699,38,C,388
155276,55,35,109,36,C,455.1
155285,24,41,7711,48571,O,98.5
155302,6,40,622,1,O,353.1
155341,6,40,168885,19721,O,87.6
155376,18,33,28,3,O,588.6
155445,42,32,85,1,C,154
155450,27,38,2561,10,O,501.7
155509,13,30,21053,590,O,23.9
155511,18,23,7976,1553,C,63.1
155515,18,7,10941,197851,M,804.4
155615,26,34,8699,624,O,140.3
155628,18,35,143816,32505,C,146.5
155660,48,35-38,1818,73,O,770
155705,34,35,3022,15,O,230.4
155741,48,26,4147,12929,M,18.7
155754,13,35,4640,218,O,52.3
155785,17,35,2836,8,O,35.1
155810,55,7,4673,180,C,495
155813,44,35,2435,12,C,267.7
155850,47,36,2859,170,O,39.7
155852,37,24,30568,43630,O,55.5
155887,18,34,242,1,C,134.9
155903,17,41,30150,39856,O,154.1
155904,34,30,155482,117216,O,29.7
155934,17,35,18,1,O,970.8
156000,13,30,45508,32518,C,12.6
156002,17,30,4161,215,O,39.7
156008,55,38,483,3,O,578.1
156019,36,35,909,5,C,87.4
156066,48,35,395,4,O,145.6
156074,9,35,46,2,O,916.2
156087,55,27,43806,46112,O,43.4
156090,20,38,2726,9,O,782.9
156098,22,24,255,16,M,463
156104,4,30,41,2,O,142.7
156115,6,31,21815,52356,C,82.9
156132,12,35,14506,211,O,54.5
156135,37,24,1708,5,O,42
156174,29,5,102791,41894,O,80.5
156212,33,34,8161,201,O,485.1
156226,34,7,348,14,C,374.6
156243,12,40,9894,25,O,168.5
156287,26,35,3709,273,M,31.2
156324,49,38,12275,7,O,79.4
156345,42,38,3314,111,O,158.1
156347,26,21,11,3,O,225.9
156357,12,35,2351,294,O,106.1
156430,29,29,9,4,C,431.4
156454,53,20,41593,228029,C,16.9
156489,50,38,88,3,O,21
156534,12,28,8703,22979,O,254
156564,23,35,99,2,C,1195
156604,29,34,44705,2087,O,44.7
156623,26,38,3868,10,O,94.6
156674,47,35,10,2,M,6125.9
156693,39,34,196,82,O,1529.6
156719,1,36,33,2,O,517.1
156722,22,6,11489,50497,O,127.1
156745,50,38,2060,1,O,748.6
156799,37,32,4157,65,C,15.9
156813,40,34,2986,41,O,75
156816,28,24,11,4,C,110.1
156844,13,34,82876,8726,C,49.4
156885,26,20,143339,42788,O,16.2
156934,12,31,212,226,O,176.8
156938,33,24,797,13,O,124.2
156954,25,34,12504,915,O,388.3
156979,42,25-30,4,2,O,45.3
156995,12,7,4365,2454,M,16.9
157017,18,24,16493,239,O,228.9
157025,4,40,6257,15,O,15.1
157074,25,40,4571,218,O,319.4
157078,40,30,6483,1082,O,26.9
157092,31,32,4257,716,C,704.9
157105,48,20,77358,276277,M,3.7
157129,8,34,4553,327,C,112
157134,27,34,1071,92,O,81.6
157142,9,38,4625,17,O,282.9
157151,13,11,12892,175402,O,172
157162,39,19,24841,21105,O,109.9
157217,4,30,136,10,C,39.4
157228,48,37,1771,7,O,3665
157289,36,20,4548,18195,C,58.1
157293,21,34,1866,2,C,14876.6
157302,9,38,2455,9,O,171.3
157313,19,35,34062,17,O,296.8
157327,42,34,5962,56,O,215
157331,25,38,24311,62,O,509.1
157367,47,36,27373,33547,M,95.2
157380,37,36,89458,35185,M,31.9
157392,48,32,24733,3637,M,73
157403,12,35,59,16,O,574
157434,37,30,122711,34020,O,16.5
157446,33,38,1185,4,O,2737.6
157528,39,23,4940,973,O,44
157550,5,40,3639,318,M,21.1
157555,1,35,3644,9,O,312.3
157571,12,23,44,1,C,27228.3
157596,36,7,60777,42453,O,179.2
157612,13,37,28140,12,O,700.7
157642,13,33,878,798,C,39.2
157716,26,34,1284,175,M,94.5
157717,48,23,39100,39246,C,66.6
157732,12,35,22907,175,O,100.5
157764,26,36,8984,169,C,347.3
157787,6,28,123,43,C,12.5
157801,34,34,291,1,O,230.6
157804,6,35,18641,5,C,1009
157809,18,36,8998,900,C,244
157835,17,21,148936,39098,O,18.5
157840,39,24,47155,16313,C,60.3
157913,6,3,23995,43628,O,51.2
157924,33,34,7314,601,O,104.2
157931,53,40,37159,340,O,103.9
157957,36,40,150,3,O,569.9
157981,26,32,10257,1272,C,124.8
157983,4,43,91,4,O,233.6
158001,39,34,2632,5,O,298.1
158002,12,24,1303,1,O,49.8
158005,50,37,1023,3,C,84.5
158066,54,38,53301,382,O,131.3
158074,35,32,16827,40064,O,14.7
158077,49,36,22964,142,O,67.9
158139,45,34,84,31,C,271.5
158164,22,19,2727426,20006044,O,6.7
158196,26,40,688,80,C,104.3
158351,34,31,5449,41247,C,1506.6
158371,36,40,406,7,O,209.8
158375,53,4,9123,50686,O,246.4
158383,26,22,12659,73382,C,17.9
158386,5,27,229,262,M,147.3
158401,27,40,1172,33,O,456.8
158427,25,31,37013,1968,O,77.8
158463,51,24,12105,6265,O,32.6
158472,26,13,1011,73546,C,15.9
158492,26,20,2399,197,O,1351.7
158514,6,34,2324,27,O,470
158602,30,15,349474,33346749,C,20.4
158623,39,24,3555,1100,O,147.4
158654,17,35,3181,365,C,541.3
158682,6,32,4545,118,O,308.4
158688,6,38,3674,8,O,372.3
158731,12,35,208,15,M,128.8
158745,23,35,469,23,O,116.5
158754,39,35,782,2,O,935.1
158819,32,31,396,48157,O,500.4
158835,8,24,14,3,C,64719.3
158855,22,20,108629,40338,O,1500.5
158881,39,34,3851,176,C,649.8
158903,9,35,189,1,O,90.1
158980,35,40,1093,364,M,70.3
159004,36,41,2231,15204,O,66.2
159060,34,5,69019,2728,O,48.8
159092,29,30,15825,889,O,26.6
159112,37,30,43838,36531,O,63.3
159145,36,31,24067,30276,O,21.6
159161,19,33,25459,49472,C,44
159190,39,37,1064,326,C,3864.7
159212,25,33,553,49,C,2598.9
159232,6,34,17481,1187,O,140.1
159252,55,38,13407,71,O,1130
159278,13,5,27968,50129,O,210.1
159300,47,34,109,14,C,940.7
159302,47,24,25,2,O,385.3
159307,10,24,1306,100,O,387.2
159343,37,23,46,2,C,1471.1
159353,48,33,859,2,O,325.2
159371,36,35,52,12,O,3767.1
159372,17,34,835,37,O,414.9
159391,45,41,39697,20443,O,36.8
159409,12,34,50,2,O,611
159414,36,34,1709,330,C,16.2
159420,36,38,949,5,C,1212.5
159442,55,4,43471,46220,C,52
159443,4,35,65,1,C,190.4
159445,13,38,54641,10435,O,121.6
159446,2,4,24553,43693,O,45.4
159458,47,30,16582,1278,O,1081.2
159468,6,35,14322,14,O,728.5
159477,21,33,21095,131,O,52.5
159504,36,34,38426,172,O,8.8
159603,4,41,24550,39280,M,17.9
159605,6,38,1738,3,O,925.2
159642,37,30,3941,416,O,327.9
159671,26,35,1091,1,O,70
159679,8,30,327,1,O,19.8
159703,6,38,333,276,O,170.5
159711,53,12,595,54562,C,44.3
159744,12,35,706,2,O,208.2
159774,5,40,27310,39853,M,10.7
159778,36,38,31628,55,C,422.5
159812,36,34,546747,33374,C,266.8
159838,38,34,233,234,C,117.3
159839,48,35,70,2,O,773.2
159841,4,36,326470,40899,M,11.7
159847,55,23,44,105,O,45.6
159882,41,3,8525,8184,O,193.8
159892,27,35,5410,2,O,77.3
159916,15,3,169,1,C,28.1
159983,22,34,773,7,C,60.7
159997,6,35,26,1,C,71.1
160024,18,4,65475,37830,O,77.2
160033,6,34,267,2,O,339.8
160056,45,5,32977,34713,M,202.7
160110,6,31,2209,20,O,47.1
160128,45,28,13366,40505,O,62.6
160129,6,37,1091,87,O,796.6
160167,37,5,72267,57814,O,381.7
160187,12,41,42335,52590,O,51.5
160191,13,27,18971,94856,O,465.4
160215,25,20,1649,600,O,21.8
160237,9,34,21546,23,O,220.9
160249,53,30,11555,83,C,273.6
160257,23,31-34,23330,5582,O,65.8
160294,19,34,600,730,O,28
160340,51,40,6322,1,O,213.9
160364,6,40,223,11,O,763.3
160501,39,19,24839,21103,O,72.2
160525,21,40,275,28,M,288.1
160537,51,24,1228,49121,O,311.8
160574,34,23,3081,545,C,55.2
160591,54,20,21495,48087,O,221.8
160600,12,7,1154,160,O,16.7
160645,6,29,216,3,O,412.1
160661,53,35,1002,2,O,1284.5
160662,12,26,318255,4252281,O,16.4
160687,48,30,123277,6427,M,98
160690,48,35,2290240,434,O,81.4
160768,12,26,9593,87479,O,304.4
160769,6,28,4071,49361,M,53.7
160784,26,34,262,7,O,756.8
160833,27,38,154597,497,O,40.2
160868,48,32,3639,22,O,99.7
160902,25,43,166,33,C,227
160924,6,38,270,2,O,689.6
160954,41,35,7207,546,C,82.3
160959,48,36,165,8,O,39223.3
160970,18,38,255,4,O,709.3
160977,39,32,53930,32173,C,50.8
160979,47,34,86465,43609,C,360.9
160983,21,24,24463,1527,C,221.1
161016,8,35,1,1,C,208.2
161021,42,32,2366,1314,C,569.9
161116,48,29,1333,45,O,62.3
161136,13,34,2288,201,C,61.1
161141,25,38,2222,15,O,28.3
161146,19,34,34245,2099,O,217
161175,1,34,108943,37412,O,49.2
161231,27,36,364,3,C,297.4
161255,6,38,2386,7,O,334.2
161335,29,23,40380,35619,C,49.7
161341,39,32,69130,3006,O,11.5
161389,36,38,1125,17,O,1487.1
161395,6,35,29,1,C,2237.7
161437,29,36,1293,166,C,127
161441,53,4,9094,44647,O,89.3
161489,42,35,700,73,O,152.5
161502,29,31,24063,14132,O,35.2
161536,6,3,2371,11778,O,282.2
161546,25,30,637,6,O,88.8
161591,1,20,8260,1375,M,33.6
161593,48,40,28412,1474,O,382.5
161642,24,30,698,5,C,144.3
161652,36,36,1570,5358,M,71.3
161658,10,34,6332,17,O,117.7
161672,6,29,4298,378,C,144.9
161676,18,38,3183,5,O,390.6
161682,13,27,17802,62307,O,180.5
161699,6,37,20594,6,O,103.8
161711,6,37,995,41,O,160.7
161723,8,20,526,17,C,26.1
161740,48,34,14720,164,O,533.6
161746,55,27,7154,5685,O,29.8
161754,6,37,51074,47,O,208.7
161764,17,35,1,1,O,6079.6
161769,49,28,89,1,C,7271.5
161777,13,13,93444,47702,O,99.8
161796,42,32,29143,23631,C,103.4
161837,53,38,136,1,O,387.1
161854,45,37,223,2,O,334.5
161876,18,24,29,3,C,542.8
161879,12,43,46740,53293,O,83.1
161910,48,30,19733,38741,O,19.1
161918,6,33,43557,15704,O,62.6
161921,27,40,12318,334,O,131.1
161923,45,36,381700,36889,O,4.7
161925,39,7,10504,409,O,139
161938,1,20,32649,35977,M,7.9
161958,37,36,89472,35190,M,31.7
161999,23,30,20,3,C,652.9
162002,12,40,2556,159,O,1189.8
162005,17,35,4280,122,C,25
162033,13,21,5554,27,O,24.1
162067,28,32,1115,36955,O,538.2
162084,40,37,14723,757,O,226.1
162086,12,29,1301,793,O,1189.7
162102,13,24,19096,6015,O,64.7
162104,47,30,4253,3478,C,18.7
162161,9,36,40123,43808,M,77.2
162193,6,30,25881,841,C,163.5
162203,17,37,32944,22327,O,110.1
162216,51,35,737,19,O,29101.1
162237,5,20,50474,30074,O,85.7
162269,48,23,64943,36079,O,260.6
162280,48,29,4434,574,O,47.1
162321,1,20,27647,29102,C,7.9
162346,36,38,25,1,C,1584.5
162354,1,37,25490,595,O,163.4
162427,27,34,66872,27709,O,194
162445,37,20,3457,60,O,24.4
162446,18,10,1967,41125,C,57.5
162472,18,36,5569,173,C,749.2
162513,29,35,895,159,C,180.9
162524,25,35,327,2,O,657.3
162573,31,38,24319,932,C,13.8
162589,51,2,13444,62052,O,60.9
162612,34,38,436,22,O,349.1
162613,12,33,10463,816,C,61.3
162625,19,40,657,31,M,67.5
162674,33,31,7353,2079,O,60.7
162701,12,40,39184,34967,O,20.5
162727,41,23,8626,980,O,10.2
162739,34,34,538,8,M,126.9
162775,48,31-34,13206,12,O,104.5
162791,37,24,4258,296,C,50.6
162810,32,38,52,1,C,5287.6
162849,12,34,55,2,O,761.8
162879,28,5,17649,36390,O,412.1
162891,41,33,1815,15,O,604.8
162941,51,33,138592,36605,C,24.3
163001,6,38,613,2,O,179.8
163055,19,36,10790,3599,O,32.5
163077,34,41,93112,50423,O,133
163090,48,35,1191,306,M,27.8
163099,25,35,123334,56,O,94.3
163181,24,24,18888,6061,O,71.7
163194,9,33,1,26,O,2879.2
163228,45,36,42089,7464,C,19.7
163234,37,20,77695,45106,C,100
163238,38,35,1273,55,O,61.9
163243,53,37,412,3,O,858.7
163246,42,24,6012,106,O,158
163266,39,41,4747,48681,O,405.3
163270,24,40,1707,24,O,108.4
163273,37,36,19664,5490,M,153.5
163292,18,31-34,16631,270,O,115.1
163318,47,40,3625,27,O,63.5
163348,26,36,2074,2084,C,187.7
163364,25,38,182,5,O,1044.5
163365,28,30,4185,313,M,32.3
163426,45,20,26497,51613,O,165.8
163442,37,35,90947,24556,C,94.9
163450,31,32,86,144,C,618.6
163460,12,41,69431,39675,O,17.8
163527,12,43,12444,396,O,1861.6
163535,26,26,34697,97057,C,105
163539,42,24,54263,21487,O,97.5
163553,13,30,115,82,C,508.9
163612,33,27,8982,5998,C,33.1
163636,21,43,1191,1,C,2501.5
163673,36,40,24548,1,O,244.7
163686,26,39,456,164,C,816.9
163698,39,32,72738,27263,M,20.6
163707,18,33,2089,72,O,1883.2
163733,48,33,18901,3381,M,84.5
163762,6,5,64145,59375,O,145.9
163879,13,36,262152,42398,O,3.9
163898,53,38,19,5,O,1365.4
163983,22,38,991,2,O,9.9
163986,45,24,33276,35290,C,136.8
163993,26,29,108,19,M,651.2
164003,41,35,173862,132,O,2662.1
164024,39,24,4798,2812,C,659.9
164072,6,35,107,26,O,3249.9
164103,48,35,2509,720,M,28.4
164104,17,24,11839,16165,O,26.1
164110,40,38,6963,638,C,97.2
164179,17,32,7985,4936,C,191.8
164186,26,33,3185,1107,O,620
164214,25,38,716,1,O,484.4
164235,36,35,3238,7,O,118.5
164272,48,34,150795,12267,O,56.1
164299,36,35,502,50,O,896.7
164306,6,37,970889,4093,O,64.8
164326,47,36,254105,36543,C,202.8
164356,55,36,56621,45251,M,167.6
164379,17,30,9317,2120,O,39.7
164385,36,34,11,10,O,1453.4
164400,25,40,294,43,C,427.4
164404,17,35,892,4,M,47.7
164415,28,30,15965,1373,C,13.2
164453,47,34,427,6,O,1043
164491,37,34,44340,1445,O,95.6
164521,34,24,7840,43553,C,28.9
164557,4,35,14613,545,M,38.1
164563,26,36,29280,16107,C,182.9
164625,6,3,86749,148,O,1630.6
164650,39,39,436,136,C,303.6
164659,4,40,1229311,3267,O,70.9
164660,36,40,6367,3,O,441.4
164701,40,23,25,55,C,3.6
164735,37,30,68678,35749,O,45.7
164756,6,7,37571,43837,O,92
164757,48,33,358,6,O,831.2
164771,48,34,257,15,O,1331
164824,25,24,75,5,O,1323
164834,39,38,56795,198,O,288
164856,26,27,10114,13134,C,37.4
164902,27,34,823,23,C,598.8
164927,8,30,334,5,O,3036.2
164944,53,26,1418,59584,C,33.7
164959,51,24,10158,46346,O,312.6
164994,39,38,881,3,O,108.7
164998,6,4,5482,44748,M,46.2
165021,13,38,262,4,O,628.3
165025,36,30,4447,18,O,924.2
165047,1,24,49080,33848,O,214.5
165085,8,34,1041,2181,C,39
165086,51,20,52991,37504,O,310.8
165156,39,23,318,37,O,10.7
165170,17,24,2438,42,O,902.1
165171,6,34,8524,95,O,232.3
165190,21,23,521,1091,C,112
165206,20,34,160,14,O,9146
165221,27,23,628,26,O,56
165236,1,23,804554,38276,O,16.5
165259,6,38,720,4,C,391.1
165278,47,36,214,80,C,1461.6
165285,26,26,7767,76075,C,68.3
165292,26,36,325,84,C,181.9
165307,26,34,353313,60063,C,45.4
165320,25,23,44637,46498,C,157
165330,27,35,38105,286,O,44.9
165345,6,35,1,2,O,1807.8
165386,37,37,8724,23,O,107.7
165397,12,35,1832,11,O,204.8
165483,6,37,8561,16,O,331.2
165484,9,24,11137,3713,C,100.1
165489,12,35,18740,45,O,196.3
165506,6,35,3,3,O,606.8
165513,25,35,22900,15,O,1022
165530,36,32,2290,265,C,23.5
165541,10,7,32054,12020,C,12
165553,34,31,1868,537,O,1044.2
165557,31,24,15316,554,O,1015.3
165608,53,33,9525,55,O,87.2
165609,39,26,15235,2133,O,24
165616,25,38,2900,19,O,339.6
165633,26,35,19301,1546,M,18.2
165702,34,34,1931,22,C,754.5
165737,8,35,69083,17,O,11.2
165779,53,30,55,1,O,633.6
165780,22,23,27164,48591,O,130.8
165800,39,34,716,22,M,375.1
165879,34,37,894,1,M,148.6
165892,51,34,1289,65,C,74.6
165931,39,34,2551,9,O,100.8
165968,6,26,12867,52342,M,259.7
166015,36,20,4554,18218,C,57.9
166073,32,40,10003,55,C,222.7
166099,55,38,4013,763,M,429.4
166124,39,35,1022,2,O,913.2
166146,53,26,31584,174254,O,39.1
166159,26,36,2083,813,C,185
166198,55,27,7958,38820,C,164.6
166224,6,38,8162,2,O,267.1
166245,55,4,34636,46617,C,51.6
166259,16,20,52170,39493,C,12.2
166328,25,38,7331,17,O,325.1
166333,4,14,148058,49353,M,61.7
166406,27,7,4966,7851,C,13.2
166433,47,24,2775,2729,O,118.1
166435,39,34,20885,4860,C,582
166436,55,23,4639,1819,C,608.1
166453,13,13,1274,24040,O,304.9
166491,19,34,23631,13736,M,25.5
166507,12,34,11051,1243,M,809.5
166513,6,37,984,4,O,332.4
166532,6,35,20124,10514,C,751.5
166550,41,35,1974,32,O,369.9
166596,25,35,1467,9,C,3575.9
166609,12,35,2069,338,O,435.3
166701,53,31,10254,241269,C,32.3
166726,26,29,91,1,C,726.6
166741,34,23,796,5,O,389.3
166768,12,43,65061,33620,O,50.6
166779,37,30,39489,34841,M,62
166815,25,35,78483,56,O,47.7
166823,27,40,88652,7197,O,50.8
166849,17,33,5,1,C,76764.2
166852,26,3,19083,92839,C,96.8
166879,12,34,869,50,O,1194.4
166891,37,27,17758,48419,O,151.3
166933,26,40,47650,13887,C,526.4
166975,17,34,11568,2475,C,1701.4
166980,10,38,36796,260,O,28.9
166989,19,5,28174,95505,O,336.3
166992,6,32,1398,133,O,823.3
167024,25,41,3875,47695,C,443.1
167025,40,20,250,1,O,17.3
167045,4,14,169434,49026,M,124.1
167094,45,23,17309,22058,M,17.6
167130,28,40,14,2,C,358.8
167137,36,35,357,91,C,2068.8
167150,25,34,3793,34,O,936
167277,37,24,88833,42419,O,16.8
167279,42,34,127,1,C,208
167344,27,38,3264,38,O,33.5
167393,27,35,227,6,O,766
167406,42,41,27979,35701,O,174
167414,48,35,5021,4,O,1599
167417,48,36,3796,3489,M,202.2
167440,51,36,165600,17817,O,15.7
167453,39,34,32763,37963,M,175.9
167467,45,27,794,2611,C,15.6
167498,42,33,8874,3522,M,188.1
167503,29,33,256,63,M,192.8
167512,4,35,1301,35,C,6.3
167539,39,33,6598,194,O,207.7
167549,39,34,42,1,O,65.3
167565,39,35,398,29,O,151.2
167635,29,14,15789,49853,O,66.3
167645,6,35,11,1,C,57.7
167649,45,24,159982,23371,O,68.4
167661,12,36,69,3,O,1634.7
167673,12,24,109,1,O,48.5
167714,1,36,4029,4036,O,308.3
167715,45,41,3174,47026,O,164.4
167735,18,32,3386,2243,C,39.2
167756,37,36,15800,2640,C,80
167769,32,40,792,7,O,24.4
167775,47,36,25996,30180,C,609.6
167778,39,23,15936,10915,C,163.6
167801,36,34,76,34,M,220.7
167846,51,36,28873,7732,O,58.8
167857,21,29,24785,639,M,25.9
167862,6,41,8624,41332,O,185.5
167933,42,23,2802,1863,C,70.5
167935,4,37,738,3,M,16.4
168003,26,34,34,2,O,704.3
168029,29,32,72004,172870,C,29.6
168047,49,29,206,4,M,28.7
168080,8,35,11065,12,O,913.2
168117,55,29,408,78,O,6228.5
168145,53,20,96,2,O,160.8
168170,37,3,44706,47020,O,3
168173,36,35,77108,1435,O,101
168207,6,32,1908,178,M,2042.8
168216,23,31,2520,107,M,76.8
168288,39,36,409,79,C,2129.5
168328,36,34,1843,16,O,1130.6
168335,42,34,137,1,C,143.5
168344,21,31,336966,35026,O,18.6
168356,29,23,2839,455,M,12.1
168371,32,31,363,47927,O,492.6
168380,17,23,18786,5615,O,138.5
168383,54,37,6938,29,O,296.4
168403,48,33,97315,43672,M,22.6
168406,39,40,9072,5415,C,209.9
168411,25,20,218,1,O,2432.3
168424,18,24,862,481,O,552.2
168429,6,34,3326,316,C,300
168455,6,30,137,1,O,146.1
168478,37,33,10942,14801,C,348.9
168481,17,20,17431,36315,C,71.8
168545,51,36,26169,14611,C,677.5
168562,21,35,11,1,O,50.3
168569,31,35,1777,32,C,207.1
168577,54,37,265,4,C,41.3
168579,25,5,11098,46211,C,18.7
168585,39,34,43735,640,O,89.3
168600,24,20,29366,6542,O,27.5
168703,34,41,11054,56351,O,197.9
168743,42,20,32711,21808,O,45.2
168761,17,35,2368,37,O,12434.9
168829,34,35,45,1,O,226.8
168870,25,34,2889,216,O,296.5
168886,16,36,91,6,C,1589.2
168890,42,33,6,2,C,264
168924,17,31,10906,20307,C,83.6
168944,53,34,3,23,O,13.9
168954,19,36,2835,1047,O,243
168976,38,2,7415,68606,C,90.1
168977,54,38,1860,19,O,64.9
168983,42,35,5770,43,O,43.7
168989,6,20,52,44,O,72.3
168995,37,26,25033,36385,O,66.7
169004,51,32,17095,49841,C,166.5
169013,17,37,4234,1,C,354
169034,18,29,29592,640,M,38.6
169060,51,34,103109,46892,O,23.8
169083,26,36,971,179,M,2090
169141,9,24,16051,3330,C,138.1
169159,12,40,762,327,O,75.5
169209,38,6,54429,177457,M,24.7
169249,4,35,29604,109,O,98.6
169293,26,7,55445,44356,C,264.7
169376,48,20,128183,190104,C,121.2
169401,26,19,11705,5220,C,145.4
169413,26,38,3570,1,O,602.3
169419,55,36,2442,45,C,2025.1
169422,48,5,38422,38205,M,32.7
169436,11,23,537,2,O,2918.6
169478,6,7,87615,28055,O,1116.1
169479,12,20,20,69,O,242.9
169557,12,35,2879,3,M,153.5
169561,17,4,7305,52196,O,495.1
169563,39,36,81,9,O,152
169585,6,3,85890,47975,O,43.2
169604,24,34,17966,4776,C,15.4
169607,6,41,36797,826907,O,121.8
169662,6,36,1624,3458,M,251.7
169673,24,36,4461,106,C,150.8
169806,20,35,19889,6421,O,30.2
169810,41,35,17786,1426,M,312.7
169825,39,20,759,301,C,549.3
169858,26,29,5,3,C,26.6
169867,42,33,23690,5547,O,586.7
169905,26,35,9928,60,O,44
169908,26,35,252,2,O,91.9
169914,34,33,2434,150,C,46.5
169947,36,40,4183,604,M,67.6
169955,19,34,150333,19445,O,263.8
169969,41,27,150822,108913,O,60.8
170028,27,35,491,4,O,75.2
170044,37,5,32215,57744,O,151.2
170081,34,29,35,13,O,277
170083,12,39,227,26,C,255.2
170096,12,37,12915,35,O,295.2
170111,6,33,3528,745,C,373.8
170137,48,33,29,4,M,5110.2
170142,1,40,51,1,O,1204.3
170159,17,24,13229,10535,O,486.5
170183,27,23,22047,6542,C,137
170184,39,33,9597,6993,C,231.5
170215,40,20,682,4,O,17.8
170266,8,35,4835,6,O,69.4
170273,34,38,2902,387,O,73.2
170285,18,32,18943,152,O,1011.8
170287,37,40,32434,2389,O,121.9
170303,21,26,25216,21013,O,70.6
170341,6,34,6035,1962,O,109.5
170350,45,27,42819,184026,O,231.2
170374,50,40,11448,1090,C,95.7
170387,41,35,33026,31,O,363.6
170452,18,38,53,44,C,3012.2
170500,47,24,40026,17927,C,36.6
170555,6,31,40500,259,O,73.1
170613,48,32,182298,48361,M,52.7
170649,6,5,16092,1658,O,126
170743,6,35,47427,12100,O,24.6
170807,6,35,763,2,C,33.5
170825,6,35,33733,24834,O,579.7
170828,17,35,3805,111,C,25.7
170830,12,23,4671,3537,O,814.7
170834,6,31,327,11,C,2197
170851,17,33,218,1490,M,866.5
170896,6,38,13019,25,O,1129.6
170902,29,26,23295,47227,O,19.3
170940,12,37,5103,9,O,41.5
170953,31,23,3291,1119,M,23.9
171020,12,31,373,338,C,245.5
171040,56,13,8763,199527,C,67.1
171055,40,40,1458,823,O,36.4
171137,12,37,1433,11,O,572.4
171138,50,35,1884,4,O,27.4
171192,25,33,5577,35696,O,240
171194,37,30,12209,5604,M,33
171215,48,35,91,1,O,90.9
171275,51,20,186,1,O,746.3
171284,30,26,30205,185866,M,117.8
171330,42,32,2102,9606,C,87.8
171359,21,19,20688,44975,C,52.9
171368,21,37,17468,130,O,14.3
171414,34,34,301,4,O,247.9
171455,48,43,12506,30602,M,10.6
171479,12,38,36,5,M,417.1
171523,45,38,3664,109,O,15.3
171557,55,24,6083,971,C,67.4
171626,46,24,44576,38221,C,56.6
171639,39,31,240,24,C,47.6
171647,24,37,2274,31,O,109.5
171666,39,40,1887,1,C,122.4
171670,36,34,2523,2,O,8.8
171678,22,6,11955,50477,O,125.9
171681,51,29,15,2,C,2161.3
171707,47,36,1131,569,C,2112.8
171724,51,38,2195,27,O,23.5
171754,47,24,138,23,M,149.1
171759,17,20-24,2562,120,O,18.9
171780,36,40,182,1,C,211.5
171785,1,24,67598,45138,O,6.4
171847,12,35,8,1,O,1435
171861,48,23,2285,569,O,58.1
171912,53,4,9469,51890,O,240.6
171913,6,35,11,2,O,77023.1
171944,48,41,2328,46559,M,26.4
172004,4,40,23,57,O,296.8
172072,24,20,14964,16747,O,28.4
172082,23,34,256541,31795,O,44.6
172103,17,34,1442,1,C,109.1
172133,34,24,21496,10091,O,202.2
172141,18,36,50320,7913,C,118
172188,26,36,1192,115,C,319.9
172192,30,32,180550,48073,O,13.8
172196,16,14,17525,59182,C,20.5
172201,6,38,71958,49,O,513.1
172273,36,20-24,5642,2453,C,29.8
172288,55,32,50425,13646,M,44.4
172329,39,36,18942,10247,C,98.7
172339,49,34,23713,5,C,266.2
172356,20,34,225,14,O,245
172414,13,11,13439,182856,O,171
172416,34,41,65069,29886,O,20.9
172453,53,35,7614,10,O,86.3
172455,48,34,1983,95,O,51.1
172459,18,21,38,69,O,2275.6
172484,48,36,1090,164,O,219.3
172503,37,30,13861,13122,O,28.7
172622,6,41,8882,41884,O,124.2
172640,20,32,79747,19937,O,73
172645,32,7,40189,36513,O,17.2
172647,13,40,728,4,C,5481.1
172658,55,35,193,1,C,14.1
172663,18,36,942,26,O,281.5
172676,39,36,61988,15438,C,147.2
172721,12,35,1199,27,O,258.3
172726,12,37,251,1,O,97.5
172755,25,24,137786,19611,M,21.7
172767,53,35,2295,7,C,55.4
172773,32,34,142995,6711,O,14.9
172786,22,30,43858,42395,O,18.2
172797,25,21,661913,13041,O,35.4
172833,19,32,8693,4441,C,190.6
172857,33,38,16579,56,O,32.5
172868,32,35,544,1,O,93.3
172906,17,32,44786,35771,C,77.2
172919,6,3,96913,49062,O,43.9
172956,48,41,16087,20891,O,304.6
172958,37,24,30527,14130,O,64.9
172965,27,35,2170,10,C,179.5
172969,25,5,8306,2347,C,30.3
172973,42,35,6405,3,O,25.5
172982,36,23,1790,728,O,1827.2
173058,48,23,47028,90934,O,22.8
173059,6,33,7797,45960,O,852.2
173074,13,30,1998,23772,C,108.5
173090,42,24,16148,910,M,113
173091,36,6,4257,2518,C,100.2
173131,22,38,101,13,C,27.3
173140,9,38,1011,1,O,34.9
173153,38,35,631,8,C,94.5
173154,36,37,28325,6,O,154.3
173156,16,38,178,1,C,663.5
173158,44,31,11376,5233,M,29.1
173200,53,41,3640,45507,O,237.1
173201,12,34,43688,3057,O,212.7
173227,55,35,28165,8824,C,42
173284,4,35,2074,5,O,85.5
